name,category,calories,protein,carbs,fat,fiber,standardUnit
ผักดาวส้มดาวขม ดิบ,vegetable,29.77,2.7,3.73,0.45,0,100 กรัม
ผักติ้วมอญ ดิบ,vegetable,23.11,0.83,3.43,0.67,0,ถ้วยตวง
ผักบ็อกซอย ดิบ,vegetable,6.23,0.76,0.72,0.04,0.58,ทัพพี
ผักปรีเดอม ดิบ,vegetable,112,2.42,23.33,1,0,100 กรัม
เห็ดโคนญี่ปุ่น ต้ม,vegetable,49.22,6.17,4.75,0.62,4.66,ถ้วยตวง
เห็ดนางฟ้า ต้ม,vegetable,35.47,2.68,5,0.52,5.59,ถ้วยตวง
เห็ดนางรมหลวง / เห็ดออรินจิ ต้ม,vegetable,58.03,3.65,9.79,0.47,6.41,ถ้วยตวง
เห็ดเป๋าฮื้อ ต้ม,vegetable,47.52,3.12,7.91,0.38,6.7,ถ้วยตวง
เห็ดเผาะ ต้ม,vegetable,130.83,3.62,25.23,1.71,28.04,ถ้วยตวง
เห็ดกระดุม / แชมปิญอง ดิบ,vegetable,8.55,1.2,0.82,0.05,0,ทัพพี
เห็ดไคขาว ดิบ,vegetable,58.2,5.08,8.11,0.6,7.02,ถ้วยตวง
เห็ดชาง ดิบ,vegetable,197,2.4,46.4,0.2,0,100 กรัม
เห็ดตะไคล ดิบ,vegetable,49.28,4.31,6.84,0.52,0,ถ้วยตวง
เห็ดนางรมฮังการี ดิบ,vegetable,47.8,3.99,7.14,0.36,4.11,ถ้วยตวง
เห็ดปลวกจิก / เห็ดข้าวตอก ดิบ,vegetable,45.92,4.48,5.74,0.56,1.12,ถ้วยตวง
เห็ดปลวกตาบ ดิบ,vegetable,49.73,5.32,6.29,0.36,2.06,ถ้วยตวง
เห็ดภูฐาน / เห็ดนางฟ้าภูฐาน / เห็ดนางรมภูฐาน ดิบ,vegetable,35.57,3.51,4.84,0.24,2.9,ถ้วยตวง
เห็ดระโงกขาว / เห็ดไข่ห่านขาว ดิบ,vegetable,36.96,3.08,4.9,0.56,1.96,ถ้วยตวง
เห็ดระโงกเหลือง / เห็ดไข่ห่านเหลือง ดิบ,vegetable,34.86,2.94,4.2,0.7,1.68,ถ้วยตวง
เห็ดหูหนูขาว ดิบ,vegetable,9.18,0.23,2.07,0,1.51,ทัพพี
เยื่อไผ่ แห้ง / เห็ดร่างแห,vegetable,42.16,1.51,8.72,0.13,3.38,ทัพพี
ขิง หั่นฝอย,vegetable,40.74,0.78,8.81,0.26,0,ถ้วยตวง
ถั่วงอก ดอง,vegetable,12.28,1.13,1.8,0.06,0,ทัพพี
ถั่วงอก ในน้ำเกลือ,vegetable,7,0.61,0.99,0.07,0.65,ทัพพี
แครอท อบกรอบ,vegetable,277.58,3.17,26.44,17.68,9.26,ถ้วยตวง
ผักพังคี ดิบ,vegetable,64.33,1.63,13.35,0.49,0,ถ้วยตวง
ผักมันปู / มะเนียงน้ำ ใบ ดิบ,vegetable,55,1.96,11.56,0.1,8.15,ถ้วยตวง
ผักลำโบ้ ดิบ,vegetable,32.8,0.99,7.03,0.08,0,100 กรัม
ผักว๊อกแวม ดิบ,vegetable,72.14,3.34,10.06,2.06,0,100 กรัม
ผักเสม็ด ยอดอ่อน ดิบ,vegetable,51.96,1.66,9.94,0.62,6.21,ถ้วยตวง
ผักเสี้ยว / ชงโค (จ.เชียงใหม่),vegetable,18.12,1.89,2.1,0.24,0,ถ้วยตวง
ผักแส้ว ยอดอ่อน ดิบ,vegetable,15.63,1.38,1.92,0.27,0,ถ้วยตวง
ผักหางหมาม้อ ดิบ,vegetable,95.32,3.43,17.88,1.12,0,100 กรัม
ผักออบแอบ / ส้มอ๊อบแอ๊บ ใบ ดิบ,vegetable,72.24,2.7,13.15,0.98,7.84,ถ้วยตวง
มะเขือเปราะ ดอง,vegetable,31.75,1.27,6.19,0.21,0,ถ้วยตวง
มะระขี้นก ยอดอ่อน ดิบ,vegetable,36.88,4.45,3.84,0.41,4,ถ้วยตวง
สะเดา ดอก ดิบ,vegetable,88.44,4.64,10.48,3.11,8.34,ถ้วยตวง
หัวผักกาด / หัวไชเท้า ดอง หวาน,vegetable,20.9,0.49,4.56,0.08,0,ทัพพี
หัวผักกาด แห้ง หวาน / หัวไชโป๊ว,vegetable,49.67,0.34,11.82,0.11,0,ทัพพี
เอื้องน้ำ / ผักไผ่น้ำ,vegetable,30.1,0.8,6.5,0.1,3.8,100 กรัม
ไก่ ข้อ / เข่า ต้ม,vegetable,68.98,7.22,0.07,4.42,0,ทัพพี
ไก่ ข้อ / เข่า ทอด,vegetable,78.38,9.68,0.3,4.27,0,ทัพพี
ปลาซาดีน ในซอสมะเขือเทศ บรรจุกระป๋อง,vegetable,135.15,21.5,4.33,3.54,1.78,ถ้วยตวง
ปลาทับทิมนึ่งมะนาว (เฉพาะปลากับผัก ไม่รวมน้ำราด),vegetable,95.54,18.22,0.67,2.22,0.66,ถ้วยตวง
ปลาทู ในซอสมะเขือเทศและพริก บรรจุกระป๋อง,vegetable,162.72,23.76,5.41,5.12,2.63,ถ้วยตวง
ปลาแมคเคอเรล นึ่งซีอิ๊วเห็ดหอม บรรจุกระป๋อง,vegetable,321.2,24.34,11.39,19.81,2.96,ถ้วยตวง
ปลาแมคเคอเรล ในซอสมะเขือเทศ บรรจุกระป๋อง,vegetable,225.42,23.71,2.11,13.57,3.9,ถ้วยตวง
ซอสมะเขือเทศ / แคทชับ,vegetable,215.21,3.18,49.59,0.46,2.27,ถ้วยตวง
