name,category,calories,protein,carbs,fat,fiber,standardUnit
ถั่วลันเตา ฝักอ่อน ต้ม,single_dish,35.24,1.29,7.52,0,2.28,ถ้วยตวง
ถั่วแขก ฝัก ดิบ,single_dish,9.8,0.7,1.67,0.04,0,ทัพพี
น้ำเต้า ผล ดิบ,single_dish,33.15,0.83,7.18,0.13,2.71,ถ้วยตวง
กะเพรา ใบ ดิบ,single_dish,42.06,2.78,6.88,0.38,3.44,ถ้วยตวง
ตังโอ๋ ใบ ดิบ,single_dish,27.95,2.18,3.99,0.36,0,ถ้วยตวง
บัวบก ใบ ดิบ,single_dish,5.68,0.23,0.92,0.12,0,ถ้วยตวง
มะกอก ยอดอ่อน ดิบ,single_dish,26.27,0.92,4.98,0.3,3.79,ถ้วยตวง
มะขาม ใบอ่อน ดิบ,single_dish,3.72,0.24,0.64,0.02,0.29,ทัพพี
มะยม ใบอ่อน ดิบ,single_dish,19.77,2.25,2.22,0.21,0,ถ้วยตวง
ยอ ใบ ดิบ,single_dish,50.23,3.45,7.24,0.83,0,ถ้วยตวง
ย่านาง ใบ ดิบ,single_dish,20.88,1.23,3.54,0.2,0,ถ้วยตวง
สะระแหน่ ใบ ดิบ,single_dish,6.72,0.48,0.97,0.1,0.84,ถ้วยตวง
แมงลัก ใบ ดิบ,single_dish,31.77,2.07,4.93,0.42,4.82,ถ้วยตวง
โหระพา ใบ ดิบ,single_dish,33.63,2.46,5.52,0.19,3.35,ถ้วยตวง
บอน ดิบ,single_dish,23.86,0.94,5.02,0,0,ถ้วยตวง
พริกขี้หนู สด,single_dish,22.7,0.99,3.58,0.49,2.91,ทัพพี
พริกชี้ฟ้า สีแดง สด,single_dish,71.08,2.82,10.03,2.18,2,ถ้วยตวง
พริกชี้ฟ้า สีเขียว สด,single_dish,52.38,1.97,9.21,0.85,1.71,ถ้วยตวง
พริกหยวก สด,single_dish,29.13,1.31,5.57,0.18,3.03,ถ้วยตวง
ฟักเขียว ดิบ,single_dish,30.57,0.66,6.72,0.12,2.65,ถ้วยตวง
มะขาม ฝักอ่อน ดิบ,single_dish,57.93,1.91,12.2,0.17,12.2,ถ้วยตวง
มะรุม ฝัก ดิบ,single_dish,43.52,2.57,7.78,0.23,1.64,ถ้วยตวง
สาหร่ายทะเล แห้ง,single_dish,170.61,11.32,30.86,0.21,17.08,ทัพพี
สายบัว ดิบ,single_dish,18.57,0.51,3.75,0.17,2.63,ถ้วยตวง
หน่อไม้ ดิบ,single_dish,16.61,1.23,2.6,0.15,1.08,ทัพพี
หน่อไม้ ดอง,single_dish,29.88,1.88,4.69,0.4,2.59,ถ้วยตวง
หน่อไม้ ต้ม,single_dish,24.01,1.47,3.43,0.49,1.37,ถ้วยตวง
หน่อไม้ไผ่รวก ต้ม,single_dish,26.9,2.85,2.85,0.46,1.89,ถ้วยตวง
หน่อไม้ไผ่ตง ดิบ,single_dish,13.03,1.13,1.91,0.1,0,ทัพพี
หอม ดอก ดิบ,single_dish,15.42,0.9,2.82,0.06,0,ถ้วยตวง
หอม ทั้งต้น / ต้นหอม ดิบ,single_dish,6.79,0.46,1.08,0.07,0.78,ทัพพี
หอมหัวเล็ก / หอมแดง ดิบ,single_dish,81.99,2.62,17.61,0.12,2.86,ถ้วยตวง
หอมหัวเล็ก / หอมแดง ดอง,single_dish,50.55,1.37,10.96,0.14,0,ถ้วยตวง
หอมหัวใหญ่ ดิบ,single_dish,34.39,1.67,6.66,0.12,1.78,ถ้วยตวง
หัวปลี ดิบ,single_dish,35.66,1.72,6.29,0.4,4.64,ถ้วยตวง
ชะพลู ใบ ดิบ,single_dish,13.04,0.94,2,0.14,1.56,ถ้วยตวง
มะขาม ดอก ดิบ,single_dish,25.86,0.75,4.5,0.54,0,ถ้วยตวง
ถั่วลันเตา เมล็ด แช่แข็ง,single_dish,44.22,2.92,7.63,0.22,2.52,ทัพพี
ปอกระเจา ใบ ดิบ,single_dish,8.32,0.84,1.14,0.04,0.38,ถ้วยตวง
ปอกระเจา ใบ ผัด,single_dish,40.28,2.2,7.52,0.15,1.82,ถ้วยตวง
มะรุม ยอดอ่อน ดิบ,single_dish,37.59,3.11,4.87,0.63,0.88,ถ้วยตวง
พริกหวาน / พริกยักษ์ สีเขียว สด,single_dish,23.34,0.88,4.27,0.3,2.08,ถ้วยตวง
หน่อไม้ แห้ง,single_dish,229.3,13.8,37.9,2.5,0,100 กรัม
พลู ใบ ดิบ,single_dish,9.68,0.68,1.34,0.18,0,ถ้วยตวง
ลูกเนียง / ชะเนียง ดิบ,single_dish,75.38,4.24,14.17,0.19,1.99,ทัพพี
สะตอ เมล็ด ดิบ,single_dish,72.28,4.45,8.62,2.22,0,ทัพพี
