name,category,calories,protein,carbs,fat,fiber,standardUnit
น้ำจิ้มข้าวหมูแดง,fruit,477.21,2.87,116.06,0.17,0.15,ถ้วยตวง
น้ำจิ้มคอหมูย่าง,single_dish,230.58,14.26,34.26,4.06,15.43,ถ้วยตวง
น้ำจิ้มคอหมูย่าง ใส่ซีอิ๊วขาว,single_dish,220.56,13.58,38.16,1.51,7.41,ถ้วยตวง
น้ำจิ้มทอดมันปลากราย ใส่ถั่วลิสงคั่ว,single_dish,271.89,6.51,42.38,8.48,3.11,ถ้วยตวง
น้ำจิ้มทอดมัน ใส่ถั่วลิสงป่น,single_dish,351.08,7.49,59.13,9.4,5.59,ถ้วยตวง
น้ำจิ้มปลานิลเผาเกลือ,single_dish,278.2,11.8,56,0.78,7.87,ถ้วยตวง
น้ำจิ้มแป๊ะซะปลาเผา,single_dish,392.22,7.86,70.07,8.95,6.78,ถ้วยตวง
น้ำจิ้มพล่าปลา,single_dish,848.71,29.7,87.69,42.13,9.2,ถ้วยตวง
น้ำจิ้ม (มีมะนาว พริก กระเทียม เกลือ),single_dish,193.1,3.74,43.32,0.54,2.71,ถ้วยตวง
น้ำจิ้มลูกชิ้น,single_dish,442.4,2.61,107.66,0.15,3.15,ถ้วยตวง
น้ำจิ้มสุกี้,single_dish,318.17,6.22,62.23,4.93,4.09,ถ้วยตวง
น้ำจิ้มหมูสะเต๊ะ,single_dish,602.49,7.49,45.8,43.26,3.5,ถ้วยตวง
น้ำชุบโจร / น้ำพริกโจร,single_dish,280.23,21.82,44.96,1.46,3.67,ถ้วยตวง
น้ำเชื่อมเข้มข้น,single_dish,674.61,0,168.65,0,0,ถ้วยตวง
น้ำเชื่อมใส่กะทิ,single_dish,447.79,1.6,71.36,17.33,0,ถ้วยตวง
น้ำตาลทราย ขาว,single_dish,704.46,0,176.12,0,0,ถ้วยตวง
น้ำตาลทรายแดง (เป็นผง / จับเป็นก้อนไม่ตกผลึก),single_dish,438.81,0.77,108.68,0.11,0,ถ้วยตวง
น้ำตาลทราย ไม่ฟอก,single_dish,796,0,199,0,0,ถ้วยตวง
น้ำตาลผง / น้ำตาลไอซิ่ง,single_dish,398.92,0,99.73,0,0,ถ้วยตวง
น้ำตาลมะพร้าว ก้อน / น้ำตาลปึก / น้ำตาลปี๊บ,single_dish,688.5,0.72,171,0.18,0.3,ถ้วยตวง
น้ำตาลเมเปิ้ล,single_dish,368.73,0.1,91.63,0.2,0,ถ้วยตวง
น้ำตาลสด,single_dish,18.18,0.06,4.48,0,0,ทัพพี
น้ำเต้า ผล ดิบ,single_dish,33.15,0.83,7.18,0.13,2.71,ถ้วยตวง
น้ำทับทิมผสมน้ำผลไม้รวม 100% (ตรา ทิปโก้),single_dish,67.9,0,16.98,0,0,ถ้วยตวง
น้ำบูดู ข้น,single_dish,128.47,2.28,27.14,1.2,0,ถ้วยตวง
น้ำบูดู เฉลี่ย,single_dish,114.37,1.59,25.38,0.72,0,ถ้วยตวง
น้ำบูดู ปรุงรส,single_dish,37.22,0.17,9,0.06,0.21,ทัพพี
น้ำบูดู ใส,single_dish,95.21,0.83,22.49,0.21,0,ถ้วยตวง
น้ำเบอร์รี่ผสมน้ำผลไม้รวม 40% (ตรา ทิปโก้คูล ฟิต),single_dish,97.61,0,24.4,0,0,ถ้วยตวง
น้ำใบบัวบก พร้อมดื่ม,single_dish,106.85,0.06,26.58,0.03,0,ถ้วยตวง
น้ำประปา น้ำเปล่า,single_dish,0,0,0,0,0,ถ้วยตวง
น้ำปลาดี / น้ำปลาแท้,fruit,126.44,17.76,13.78,0.03,0,ถ้วยตวง
น้ำปลา (ราคาถูก) / น้ำปลาผสม,fruit,19.71,0.86,4.07,0,0,ถ้วยตวง
น้ำปลาหวาน (กินกับมะม่วง),single_dish,660.52,12.34,151.16,0.72,4.62,ถ้วยตวง
น้ำปลาหวาน (กินกับสะเดา),single_dish,564.88,4.36,116.5,9.05,1.68,ถ้วยตวง
น้ำปลาหวาน (ไม่ใส่กุ้งแห้ง),single_dish,479.06,3.19,116.02,0.25,1.75,ถ้วยตวง
น้ำปูนา เคี่ยว (ต้มน้ำคั้นจากปูนาตำ),single_dish,247.44,40.08,2.57,8.54,0,ถ้วยตวง
น้ำปู๋ (น้ำปูเคี่ยว คล้ายกะปิ),single_dish,24.66,0.75,4.01,0.63,0,ช้อนโต๊ะ
น้ำผลไม้รวม 100% สูตรเบอร์รี่ มิกซ์ (ตรา ทิปโก้),single_dish,84.88,0,21.22,0,0,ถ้วยตวง
น้ำผัดต่างๆ,single_dish,79.7,2.24,1,7.42,0.08,ถ้วยตวง
น้ำผัดเผ็ดมีกะทิ,single_dish,528.27,7.95,28.39,42.54,6.93,ถ้วยตวง
น้ำผึ้ง,single_dish,840.15,0.57,208.2,0.57,0,ถ้วยตวง
น้ำพริกเผากุ้ง,fruit,1074.62,13.2,116.31,61.84,16.63,ถ้วยตวง
น้ำพริกมะขามหมูสับ ผัด,fruit,743.21,37.95,68.85,35.11,17.04,ถ้วยตวง
น้ำราดข้าวหมูแดง,fruit,98.25,1.22,22.77,0.25,1.05,ถ้วยตวง
น้ำอัดลม กลิ่นครีมโซดา (ตรา แฟนต้า),single_dish,126.55,0,31.64,0,0,ถ้วยตวง
น้ำอัดลม กลิ่นครีมโซดา (ตรา มิรินด้า),single_dish,109.52,0,27.38,0,0,ถ้วยตวง
