name,category,calories,protein,carbs,fat,fiber,standardUnit
นมผง เด็ก 1 ปีขึ้นไป รสจืด กลิ่นวานิลลา (ตรา เอส-26 โปรเกรส โกลด์),milk,539.07,16.93,73.38,19.76,1.3,ถ้วยตวง
นมผง เด็ก 1 ปีขึ้นไป รสจืด กลิ่นวานิลลา สูตรผสม 5 นิวคลีโอไทด์และลูทีน (ตรา เอส-26 โปรเกรส),milk,546.9,16.16,78.13,18.86,0,ถ้วยตวง
นมผง เด็ก 1 ปีขึ้นไป รสจืด (ตรา ดูมิลค์ 3),milk,536.25,16.93,79.03,16.93,1.3,ถ้วยตวง
นมผง เด็ก 1 ปีขึ้นไป รสจืด (ตรา ดูเม็กซ์ โกลด์พลัส 3),milk,539.36,17.78,77.05,17.78,1.36,ถ้วยตวง
นมผง เด็ก 1 ปีขึ้นไป รสจืด (ตรา แล็คโตเย่น 3 โกร),milk,535.12,16.93,71.12,20.32,1.56,ถ้วยตวง
นมผง เด็ก 1 ปีขึ้นไป รสจืด (ตรา อะแล็คต้า 100 1 พลัส),milk,512.69,23.71,71.12,14.82,2.96,ถ้วยตวง
นมผง เด็ก 1 ปีขึ้นไป รสจืด (ตรา เอนฟา 3 สมาร์ทพลัส),milk,512.69,23.71,71.12,14.82,2.96,ถ้วยตวง
นมผง เด็ก 1 ปีขึ้นไป รสจืด (ตรา เอนฟาโกร เอพลัส 3),milk,500.83,23.71,68.16,14.82,2.96,ถ้วยตวง
นมผง เด็ก 1 ปีขึ้นไป รสจืด (ตรา ไฮคิว 1 พลัส ซูเปอร์โกลด์),milk,539.36,17.78,77.05,17.78,5.93,ถ้วยตวง
นมผง เด็ก 1 ปีขึ้นไป รสจืด (ตรา ไฮคิว 1 พลัส พรีไบโอโพรเทก),milk,522.65,16.16,78.13,16.16,1.24,ถ้วยตวง
นมผง เด็ก 1 ปีขึ้นไป รสจืด สูตรผสมน้ำมันปลา นิวคลีโอไทด์ 5 ชนิด และโคลีน (ตรา สโนว์เมท),milk,523.74,18.64,74.55,16.77,7.46,ถ้วยตวง
นมผง เด็ก 1 ปีขึ้นไป รสน้ำผึ้ง (ตรา ดูมิลค์ 3),milk,536.25,16.93,79.03,16.93,1.3,ถ้วยตวง
นมผง เด็ก 1 ปีขึ้นไป รสน้ำผึ้ง สูตรผสมใยอาหาร และผักโขมกับแอปเปิ้ล 2.5% (ตรา คาร์เนชัน 1 พลัส),milk,549.89,19.76,65.86,23.05,1.51,ถ้วยตวง
นมผง เด็ก 1 ปีขึ้นไป รสหวาน กลิ่นวานิลลา (ตรา ดูมิลค์ 3),milk,536.25,16.93,79.03,16.93,1.3,ถ้วยตวง
นมผง เด็ก 6 เดือน-3 ปี (ตรา ซิมิแลค เกน),milk,461.61,16.29,47.81,22.8,2.52,ถ้วยตวง
นมผง เด็ก 6 เดือน-3 ปี (ตรา ดูโปร),milk,457.78,14.37,56.53,19.35,1.34,ถ้วยตวง
นมผง เด็ก 6 เดือน-3 ปี (ตรา ดูโปร 2),milk,461.71,13.89,59.5,18.68,2.57,ถ้วยตวง
นมผง เด็ก 6 เดือน-3 ปี (ตรา ดูเม็กซ์ โกลด์พลัส 2),milk,459.31,14.37,56.91,19.35,5.27,ถ้วยตวง
