name,category,calories,protein,carbs,fat,fiber,standardUnit
พาโหม ยอดอ่อน ดิบ,single_dish,39.19,2.35,6.83,0.28,4.48,ถ้วยตวง
พิซซ่า ซุปเปอร์สุพรีม,single_dish,262.21,13.34,29.98,9.88,0,ชิ้น (กลาง)
พิซซ่า ทะเล,single_dish,255.13,18.03,26.99,8.34,0,ชิ้น (กลาง)
พิซซ่า ทะเล ชนิดบาง,single_dish,246.14,15.62,27.57,8.15,3.5,ชิ้น (กลาง)
พิซซ่า ทะเล ชนิดหนา,single_dish,258.82,14.48,33.67,7.36,0,ชิ้น (กลาง)
พิซซ่า สุพรีม (ตรา พิซซ่าฮัท),single_dish,235.36,13.49,24.72,9.17,0,ชิ้น (กลาง)
"พิซซ่า หน้าต่างๆ (ไก่, เนื้อ, เบคอน, ผัก, มายองเนส, ทูน่า)",single_dish,255.01,12.2,29.95,9.6,2.18,ชิ้น (กลาง)
พิซซ่า ฮาวายเอี้ยน ชนิดหนา,single_dish,252.7,13.21,31.13,8.37,0,ชิ้น (กลาง)
พิซซ่า แฮม (ตรา พิซซ่าฮัท),single_dish,239.47,13.39,26.78,8.76,0,ชิ้น (กลาง)
พุงปลาอื้อ / ยำไตปลา ไม่ใส่กะทิ,single_dish,104.39,7.59,13.99,2.01,1.83,ถ้วยตวง
พุงปลาอื้อ / ยำไตปลา ไม่ใส่กะทิ ใส่กุ้ง,single_dish,257.56,19.64,22.06,10.08,5.61,ถ้วยตวง
พุงปลาอื้อ / ยำไตปลา ใส่กะทิ,single_dish,350.74,11.18,17.61,26.18,4.92,ถ้วยตวง
