name,category,calories,protein,carbs,fat,fiber,standardUnit
ผักกาดเขียว ดิบ,vegetable,28.54,3.08,2.95,0.49,2.95,ถ้วยตวง
ผักกาดเขียว ต้ม,vegetable,25.86,2.18,3.71,0.26,2.43,ถ้วยตวง
ผักกาด ดอง,vegetable,12.38,0.86,2.24,0,0.86,ถ้วยตวง
ผักกาดดอง กระป๋อง / ฮั่วน่ำฉ่าย,vegetable,32.02,1.13,6.87,0,0,ถ้วยตวง
ผักกาดหอมม่วง ดิบ,vegetable,5.23,0.43,0.72,0.07,0.29,ถ้วยตวง
ผักกาดหอม / หอมปลี / ผักสลัด ดิบ,vegetable,5.06,0.45,0.72,0.04,0.45,ถ้วยตวง
ผักกุ่ม ดอง,vegetable,14.88,0.57,2.65,0.22,0,ทัพพี
ผักกูด ดิบ,vegetable,7.68,0.68,0.88,0.16,0,ทัพพี
ผักกูด ดิบ (กะเหรี่ยงเมืองกาญฯ),vegetable,37.2,2.66,5.2,0.64,4.9,ถ้วยตวง
ผักกูด ต้ม (กะเหรี่ยงเมืองกาญฯ),vegetable,32.7,2.9,3.7,0.7,3.7,ถ้วยตวง
ผักขึ้นฉ่าย / ชีจีน ดิบ,vegetable,22.28,1.32,3.9,0.16,2.24,ถ้วยตวง
ผักแขยง ดิบ,vegetable,18.09,0.84,3.3,0.17,2.46,ถ้วยตวง
ผักโขมน้อย ดิบ,vegetable,25.15,2.64,2.79,0.38,2.76,ถ้วยตวง
ผักโขมราชินี ดิบ,vegetable,9.14,1.58,0.22,0.22,1.87,ถ้วยตวง
ผักโขมใหญ่ ดิบ,vegetable,20.34,2.24,2.35,0.22,0,ถ้วยตวง
ผักคราด ดิบ,vegetable,65.58,3.55,10.57,1.01,3.25,ถ้วยตวง
ผักคะน้า ดิบ,vegetable,22.63,2,3.08,0.26,2.39,ถ้วยตวง
ผักคะน้า ต้ม,vegetable,20.06,2.02,2.62,0.17,0,ถ้วยตวง
ผักคะน้า ยอดอ่อน ดิบ,vegetable,26.12,2.18,3.78,0.25,0,ถ้วยตวง
ผักคะน้าฮ่องกง ดิบ,vegetable,11.41,0.79,1.66,0.18,0.79,ทัพพี
ผักจวง ดิบ,vegetable,139.06,3.57,30.43,0.34,20.66,ถ้วยตวง
ผักชี ดิบ,vegetable,7.23,0.47,1.21,0.06,0.6,ถ้วยตวง
ผักชีฝรั่ง / หอมเป ดิบ,vegetable,12.74,0.78,2.17,0.11,1.25,ถ้วยตวง
ผักชี เมล็ด,vegetable,16.27,0.68,3.32,0.03,2,ช้อนโต๊ะ
ผักชี ราก,vegetable,11.48,0.34,2.44,0.04,1.16,ถ้วยตวง
ผักชีไร่ / หอมแย่ / ผักสะแงะ ดิบ,vegetable,6.38,0.46,1,0.06,0.6,ถ้วยตวง
ผักชีล้อม / ผักอ้นอ้อ ดิบ,vegetable,18.56,0.84,3.46,0.15,1.71,ถ้วยตวง
ผักชีลาว / ชีฝอย ดิบ,vegetable,17.31,1.55,2.21,0.25,1.9,ถ้วยตวง
ผักเชียงดา ดิบ,vegetable,15.22,1.24,2.3,0.12,0,ถ้วยตวง
ผักดาวส้มดาวขม ดิบ,vegetable,29.77,2.7,3.73,0.45,0,ถ้วยตวง
ผักตำลึง ดิบ,vegetable,33.15,3.72,4.13,0.2,2.73,ถ้วยตวง
ผักติ้ว ดิบ,vegetable,24.49,0.68,4.54,0.4,0,ถ้วยตวง
ผักติ้วมอญ ดิบ,vegetable,23.11,0.83,3.43,0.67,0,ถ้วยตวง
ผักบ็อกซอย ดิบ,vegetable,6.23,0.76,0.72,0.04,0.58,ทัพพี
ผักบุ้งจีน ดิบ,vegetable,7.16,0.84,0.74,0.09,0.74,ทัพพี
ผักบุ้งไทย ต้นขาว ดิบ,vegetable,10.06,0.69,1.51,0.14,1.33,ทัพพี
ผักบุ้งไทย ต้นแดง ดิบ,vegetable,14.88,0.99,2.49,0.1,2.15,ถ้วยตวง
ผักปรีเดอม ดิบ,vegetable,112,2.42,23.33,1,0,ถ้วยตวง
ผักปลัง ดิบ,vegetable,20.86,1.81,3.09,0.14,3.13,ถ้วยตวง
ผักปวยเล้ง แช่แข็ง,vegetable,16.18,1.28,2.46,0.14,1.09,ทัพพี
ผักปวยเล้ง ดิบ,vegetable,8.1,0.85,0.71,0.21,0.86,ทัพพี
ผักปูเล่ ดิบ,vegetable,24.86,1.92,3.77,0.24,3.44,ถ้วยตวง
ผักเป็ดน้ำ ดิบ,vegetable,15.11,0.59,2.98,0.09,0,ถ้วยตวง
ผักโป้งเป้ง ดิบ,vegetable,12.45,0.67,2.28,0.07,0,ถ้วยตวง
