name,category,calories,protein,carbs,fat,fiber,standardUnit
ปลากะพงทอดน้ำปลา,meat,591.27,55.4,13.41,35.12,0.28,ถ้วยตวง
ปลากะพงนึ่งมะนาว (รวมน้ำราด),meat,129.89,18.81,7.87,2.58,0.65,ถ้วยตวง
ปลากะพงปานข้างลาย ดิบ,meat,98.66,23.81,0,0.38,0,ถ้วยตวง
ปลา กุนเชียง,meat,336.87,19.55,34.17,13.55,0,ถ้วยตวง
ปลากุเรา ดิบ,meat,123.18,22.63,0,3.63,0,ถ้วยตวง
ปลากุเรา แห้ง,meat,213.07,47.88,0,2.39,0,ถ้วยตวง
ปลาเกล็ดขาว อบกรอบ ปรุงรส,meat,320.3,27.23,13.03,17.7,1.31,ถ้วยตวง
ปลาเก๋า ดิบ,meat,160.19,36.76,0.88,1.07,0,ถ้วยตวง
ปลาเก๋า ทอด,meat,289.08,38.26,0.26,15,0,ถ้วยตวง
ปลาเก๋า นึ่ง,meat,148.13,31.8,2.08,1.4,0,ถ้วยตวง
ปลาเก๋า หัว ต้มสุก,meat,170.14,34.14,0.14,3.67,0,ถ้วยตวง
ปลาแก้ว แห้ง,meat,238.98,39.33,0.84,8.7,0,ถ้วยตวง
ปลาข้าวสาร ทอดกรอบ รสธรรมชาติ / ปลาสายไหม / ลูกปลากะตัก,meat,252.34,24.13,0,17.31,0,ถ้วยตวง
ปลาขาว แห้ง,meat,220.65,36.55,0.43,8.08,0,ถ้วยตวง
ปลาขี้ตังเบ็ด ดิบ,meat,92.63,21.83,0,0.59,0,ถ้วยตวง
ปลาแขยง ดิบ,meat,98.65,18.88,0.47,2.36,0,ถ้วยตวง
ปลาคัง เนื้อรวมหนัง ดิบ,meat,261.22,27.5,5.81,14.22,0,ถ้วยตวง
ปลาจวด แห้ง เค็ม,meat,204.34,33.26,8.42,4.18,0,ถ้วยตวง
ปลาจ่อม,meat,88.28,13.82,4.46,1.68,3.78,ถ้วยตวง
ปลาจะละเม็ดขาว ดิบ,meat,263.57,36.82,0,12.92,0,ถ้วยตวง
ปลาจะละเม็ดขาว ทอด,meat,411.19,39.98,0,27.92,0,ถ้วยตวง
ปลาจะละเม็ดขาว นึ่ง,meat,216.4,31.46,0,10.06,0,ถ้วยตวง
ปลาจะละเม็ดดำ ดิบ,meat,220.4,39.2,0.51,6.84,0,ถ้วยตวง
ปลาจะละเม็ดดำ ทอด,meat,360.88,39.21,0.64,22.39,0,ถ้วยตวง
ปลาจะละเม็ดดำ นึ่ง,meat,217.19,31.46,1.73,9.38,0,ถ้วยตวง
ปลาเจ่า (ปลาหมัก),meat,119.32,13.48,8.69,3.4,0.5,ถ้วยตวง
ปลาฉลาม ครีบ / หูฉลาม แช่น้ำ,meat,118.61,28.9,0,0.34,0,ถ้วยตวง
ปลาฉลาม ครีบ / หูฉลาม แห้ง,meat,203.26,44.35,2.74,1.66,0,ถ้วยตวง
ปลาฉลามหนูใหญ่ ดิบ,meat,163.56,40.66,0,0.1,0,ถ้วยตวง
ปลาฉิ้งฉ้าง / ปลาไส้ตัน / ปลากะตัก กรอบ ปรุงรส,meat,179.47,25.36,2.07,7.75,1.93,ถ้วยตวง
ปลาฉิ้งฉ้าง / ปลาไส้ตัน / ปลากะตัก ดิบ,meat,103.83,23.46,0,1.11,0,ถ้วยตวง
ปลาฉิ้งฉ้าง / ปลาไส้ตัน / ปลากะตัก ทอด,meat,154.62,18.66,0,8.89,0,ถ้วยตวง
ปลาเฉลียบ / ปลาเสลียบ ดิบ,meat,129.4,24.7,0,3.4,0,ถ้วยตวง
ปลาช่อน ดิบ,meat,196.99,36.05,0,5.86,0,ถ้วยตวง
ปลาช่อน แดดเดียว ทอด,meat,327.45,45.72,0.48,15.85,0,ถ้วยตวง
ปลาช่อน ต้ม,meat,287.64,33.66,3.42,15.48,0,ถ้วยตวง
ปลาช่อน ทอด,meat,653.26,63.32,0.84,44.07,0,ถ้วยตวง
ปลาช่อนทะเล แห้ง / ปลาหัวตัด,meat,133.34,30.1,0,1.44,0,ถ้วยตวง
ปลาช่อน นึ่ง,meat,271.66,37.24,1.39,13.01,0,ถ้วยตวง
ปลาช่อน พุง นึ่ง,meat,147.76,5.59,1.06,13.47,0,ทัพพี
ปลาช่อน ย่าง,meat,281.56,39.08,1.09,13.43,0,ถ้วยตวง
ปลาช่อน แห้ง,meat,179.28,32.9,0.58,5.04,0,ถ้วยตวง
ปลาชะโด ดิบ,meat,179.46,31.5,0,5.94,0,ถ้วยตวง
ปลาซาดีน ทอด รสเผ็ด,meat,407.34,34.99,24.28,18.92,2.02,ถ้วยตวง
ปลาซาดีน ทอด ราดพริก,meat,239.15,23.24,19.34,7.64,3.12,ถ้วยตวง
ปลาซาดีน ในน้ำ บรรจุกระป๋อง เฉพาะเนื้อ,meat,178.99,35.44,1.38,3.53,0,ถ้วยตวง
ปลาซาดีน ในน้ำมัน บรรจุกระป๋อง,meat,418.08,33.85,0.47,31.2,0,ถ้วยตวง
ปลาซาดีน ในน้ำมัน บรรจุกระป๋อง เฉพาะเนื้อ,meat,208.31,34.62,0.14,7.7,0,ถ้วยตวง
ปลาซาบะ นึ่งซีอิ๊ว บรรจุกระป๋อง,meat,449.72,19.14,16.49,34.13,0.46,ถ้วยตวง
ปลาซิว ดิบ,meat,155.29,17.94,0.71,8.97,0,ถ้วยตวง
ปลาซิว แห้ง,meat,242.82,35.28,0.18,11.22,0,ถ้วยตวง
ปลาแซลมอน ชินูก ดิบ,meat,274.27,31.49,0,16.48,0,ถ้วยตวง
ปลาแซลมอน ชินูก รมควัน,meat,126.93,20.72,0,4.9,0,ถ้วยตวง
ปลาแซลมอน ชินูก อบ,meat,253.07,29.15,0,15.16,0,ถ้วยตวง
ปลาแซลมอน แอตแลนติค ดิบ,meat,319.89,32.26,0,21.2,0,ถ้วยตวง
ปลาแซลมอน แอตแลนติค อบ,meat,226.15,25.05,0,14,0,ถ้วยตวง
ปลาแซลมอล ในน้ำมันพืช,meat,352.56,30.89,2.5,24.34,1.4,ถ้วยตวง
ปลาดาบลาว ดิบ,meat,138.04,27.74,0.95,2.58,0,ถ้วยตวง
ปลาดุกด้าน ดิบ,meat,175.45,31.55,3.37,3.98,0,ถ้วยตวง
ปลาดุก แดดเดียว,meat,275.39,33.45,0,15.73,0,ถ้วยตวง
ปลาดุก อบกรอบ ปรุงรส,meat,262.44,20.11,19.79,11.43,0.78,ถ้วยตวง
ปลาดุกอุย ดิบ,meat,325.57,27.77,2.03,22.93,0,ถ้วยตวง
ปลาดุกอุย ต้ม,meat,331.19,28.39,0,24.18,0,ถ้วยตวง
ปลาดุกอุย ทอด,meat,267.66,23.89,0,19.12,0,ถ้วยตวง
ปลาดุกอุย ย่าง,meat,336.6,34.32,0.7,21.84,0,ถ้วยตวง
ปลาแดง / ปลาทรายแดง ดิบ,meat,108.86,23.81,0,1.51,0,ถ้วยตวง
ปลาตะเพียนขาว ดิบ,meat,152.04,25.43,0.11,5.54,0,ถ้วยตวง
ปลาตะเพียนขาว ต้ม,meat,224.41,24.61,0.91,13.59,0,ถ้วยตวง
ปลาตะเพียนขาว ทอด,meat,394.72,32.55,0.98,28.96,0,ถ้วยตวง
ปลาตาโต / ตาหวานจุด ดิบ,meat,99.55,23.6,0,0.57,0,ถ้วยตวง
